City,Population,Car,Transit,log_pop
"Wichita Falls, TX",97365,0.9232511520137461,0.00883740409591745,4.988402868186805
"South Bend, IN",112798,0.8710719049067552,0.030698139067580624,5.052301399322286
"Rialto, CA",135003,0.9506395244100162,0.020389375825339725,5.130343419376262
"Spokane Valley, WA",97559,0.9330624733528955,0.0208429763497913,4.989267340055923
"El Cajon, CA",124311,0.919260092488439,0.03849100476161946,5.094509560081155
"Daly City, CA",107647,0.9140906269397889,0.1979807523119123,5.032001931032702
"Davenport, IA",102884,0.9187182493161391,0.012208968578735312,5.012347840729423
"Orem, UT",95170,0.9629288764541305,0.0192920581633848,4.978500069311459
"Concord, NC",106001,0.9539334564629675,0.007170699850130799,5.025309962363198
"San Mateo, CA",102621,0.9471300684570827,0.10087208751992326,5.011236242363469
"Rio Rancho, NM",97467,0.9770439336630783,0.011643307676644066,4.988857598838867
"Sandy, UT",116068,0.9618872352909799,0.02624161216540112,5.064712501056336
"Nampa, ID",99417,0.956243678981498,0.001297618970746623,4.9974606537627135
"South Fulton, GA",138165,0.9172528537129859,0.06259745696211245,5.140398041359617
"Dearborn, MI",95483,0.9187953579078615,0.0028571186996415466,4.979926055736662
"Vista, CA",118723,0.9582438558816512,0.01720298110824647,5.07453486221885
"Vacaville, CA",93011,0.9501783662857488,0.008710369182708448,4.968534313680799
"Kenosha, WI",105345,0.9076355606855193,0.012042655490676872,5.022613927471968
"Yuma, AZ",115911,0.9341993927629286,0.01426023303320531,5.0641246526384265
"Beaverton, OR",134954,0.9164016272189349,0.09750154068499393,5.130185761454096
"Carmel, IN",91536,0.9749670619235836,0.0019300033297206432,4.9615919304215925
"Federal Way, WA",103598,0.9264129974597799,0.08118269356913856,5.015351371264929
"New Bedford, MA",94988,0.7894736842105263,0.025476450715191154,4.977668743573479
"Roanoke, VA",99329,0.8667403211019957,0.03654745073797024,4.997076063210903
"San Angelo, TX",94130,0.932654768544339,0.0028936695340887495,4.973728058688027
"Quincy, MA",93349,0.8358486301885845,0.2642339210043552,4.970109669935788
"Lee's Summit, MO",96003,0.9511194135461776,0.00436856298628676,4.9822848045300745
"Fishers, IN",92258,0.9847923513594263,0.0018014167435244266,4.965004035592229
"Menifee, CA",102104,0.9606984224230357,0.0071691149260626865,5.009042756228924
"Albany, NY",98425,0.7406139170845053,0.1522976745291236,4.993105423462267
"Brockton, MA",94813,0.8425807258291395,0.06557779611019315,4.976867888405489
"Longmont, CO",93581,0.945804931414626,0.02873460367061761,4.971187681721319
"Edinburg, TX",103193,0.9342584562012142,0.0060374265849059095,5.013650238333045
